#,Company,Symbol,Weight,Price,Change
319,Genuine Parts Company,GPC,0.062366,100.29,-0.32
320,Comerica Incorporated,CMA,0.061758,83.64,-1.05
321,International Flavors & Fragrances Inc.,IFF,0.061045,143.0,-2.85
322,AmerisourceBergen Corporation,ABC,0.06048,89.92,1.06
323,Arthur J. Gallagher & Co.,AJG,0.06027,77.66,-0.39
324,Textron Inc.,TXT,0.060186,55.69,-1.19
325,Apache Corporation,APA,0.060035,36.05,-1.03
326,Lincoln National Corporation,LNC,0.059951,63.9,-1.18
327,CMS Energy Corporation,CMS,0.059491,50.7,0.56
328,Host Hotels & Resorts Inc.,HST,0.059366,18.8,-0.1
329,Vulcan Materials Company,VMC,0.059236,103.7,-2.06
330,ANSYS Inc.,ANSS,0.059112,159.09,-6.77
331,Loews Corporation,L,0.058784,48.77,-0.82
332,Darden Restaurants Inc.,DRI,0.058692,112.39,-0.05
333,Symantec Corporation,SYMC,0.0586,21.7,-0.55
334,Synopsys Inc.,SNPS,0.058593,89.74,-3.61
335,E*TRADE Financial Corporation,ETFC,0.058486,52.03,-0.91
336,Kohl's Corporation,KSS,0.058455,80.01,-1.96
337,Citrix Systems Inc.,CTXS,0.058385,105.6,-1.41
338,Skyworks Solutions Inc.,SWKS,0.058325,72.5,-4.16
339,CBRE Group Inc. Class A,CBRE,0.057907,42.72,-0.27
340,HCP Inc.,HCP,0.057365,28.82,0.0
341,National Oilwell Varco Inc.,NOV,0.057067,34.14,-1.12
342,WellCare Health Plans Inc.,WCG,0.056985,267.33,-5.99
343,Gartner Inc.,IT,0.05684,145.52,-2.12
344,W.W. Grainger Inc.,GWW,0.056837,291.68,-2.07
345,CenterPoint Energy Inc.,CNP,0.05664,28.1,-0.03
346,Western Digital Corporation,WDC,0.056638,43.41,-2.32
347,MSCI Inc. Class A,MSCI,0.056561,148.05,-1.74
348,Alexandria Real Estate Equities Inc.,ARE,0.0561,123.93,-0.53
349,Quest Diagnostics Incorporated,DGX,0.056021,96.07,-1.26
350,Principal Financial Group Inc.,PFG,0.055643,48.58,-0.72
351,Cooper Companies Inc.,COO,0.055622,261.75,-6.05
352,MGM Resorts International,MGM,0.055617,25.18,-0.36
353,Henry Schein Inc.,HSIC,0.055603,84.85,-0.58
354,SVB Financial Group,SIVB,0.055524,241.0,-6.36
